ZipCode,flight_risk_score,risk_tier,pct_leave,net_migration_rate,price_spread_pct,turnover_rate,median_value,property_count,ZipCode_Latitude,ZipCode_Longitude
92620,0.3673263205128236,Medium,0.5178,0.03564727954971857,0.11136428367986329,0.15750591016548462,1755500.0,16920,33.7061,-117.758
92835,0.36693294172066127,Medium,0.5135000000000001,0.02702702702702703,0.11302395209580839,0.15820416889363975,1336000.0,7484,33.9011,-117.9135
92629,0.3630538014108727,Medium,0.5085999999999999,0.01710914454277286,0.11403018446059252,0.16486723081412313,1789000.0,10281,33.4747,-117.7017
92692,0.36134624458724907,Medium,0.5146000000000001,0.029296875,0.11311861743912019,0.12754561873326276,1273000.0,16057,33.6123,-117.6441
92624,0.3537576093711216,Medium,0.511,0.022004889975550123,0.11104477611940299,0.17221052631578948,1675000.0,2375,33.4622,-117.6687
92649,0.3529611081377789,Medium,0.5091,0.01818181818181818,0.11247296322999278,0.15643053950759933,1387000.0,11251,33.7213,-118.0434
92603,0.3462463081067613,Medium,0.5135000000000001,0.027085590465872156,0.10984848484848485,0.14915966386554622,2376000.0,6188,33.6387,-117.804
92677,0.34214867038543867,Medium,0.5056,0.011190817790530846,0.1119205298013245,0.15828677839851024,1510000.0,22017,33.5331,-117.7008
92694,0.33445783240939914,Medium,0.5075,0.015018125323666495,0.10898379970544919,0.1745142340713963,1358000.0,11065,33.5515,-117.6364
92655,0.3205426470005197,Low,0.49670000000000003,-0.006622516556291391,0.11433926897844424,0.10709219858156029,1067000.0,1410,33.7456,-117.9859
92618,0.3115850437796137,Low,0.4827,-0.03454085930918281,0.10925925925925926,0.29231053376839256,1620000.0,16243,33.6621,-117.7483
92660,0.31071233362857215,Low,0.48,-0.04,0.11343012704174228,0.22791883148710912,3306000.0,10201,33.639,-117.8752
90740,0.3087849527101337,Low,0.46090000000000003,-0.0781010719754977,0.1135101789019124,0.3762243134242366,1621000.0,5207,33.7613,-118.0875
90720,0.30193538248279106,Low,0.4779,-0.044145873320537425,0.1116015132408575,0.25092310162144804,1586000.0,6229,33.7989,-118.0686
92673,0.26297888100663513,Low,0.4718,-0.056348610067618335,0.11270845313398505,0.14212493326214629,1739000.0,9365,33.4612,-117.6184
92861,0.25597321596993194,Low,0.4824,-0.03529411764705882,0.11003779924401512,0.0842835894893406,2381000.0,2017,33.8172,-117.8111
92663,0.2512508753627148,Low,0.45770000000000005,-0.0845771144278607,0.11466760464298277,0.17753569851317533,2843000.0,6793,33.6205,-117.9273
92823,0.2507370845017808,Low,0.4637,-0.07262569832402235,0.1110254433307633,0.1995540691192865,1297000.0,1794,33.9201,-117.8346
92662,0.24820671683163925,Low,0.44939999999999997,-0.10112359550561797,0.11869878321331016,0.15411255411255412,4027000.0,1155,33.6061,-117.8915
92625,0.20323000626653218,Low,0.43090000000000006,-0.13812154696132597,0.11903614457831325,0.14143387380347724,4150000.0,5119,33.5993,-117.8697
92637,0.15966619480975755,Low,0.4169,-0.16619074814391777,0.11090909090909092,0.26655503120718527,550000.0,6569,33.608,-117.723
92651,0.130659884149355,Low,0.4158,-0.16846361185983827,0.11219512195121951,0.14814814814814814,3075000.0,10017,33.5353,-117.7703
